quarter,symbol,doc_count,top1_url,top1_title,top1_domain,avg_tone,tone_disp,event_impact
2019Q1,SPY,0,https://www.fairfieldcurrent.com/news/2019/02/07/benin-management-corp-has-49-12-million-position-in-spdr-sp-500-etf-trust-spy.html,SPDR S & P 500 ETF Trust ( NYSEARCA : SPY ) is Benin Management CORP Largest Position,fairfieldcurrent.com,0.0,0.0,0.0
2019Q1,QQQ,0,https://www.dailypolitical.com/2019/01/08/invesco-qqq-trust-qqq-shares-bought-by-north-star-investment-management-corp.html,Invesco QQQ Trust ( QQQ ) Shares Bought by North Star Investment Management Corp . ,dailypolitical.com,0.0,0.0,0.0
2019Q1,DIA,0,https://www.fairfieldcurrent.com/news/2019/02/06/benin-management-corp-boosts-stake-in-spdr-dow-jones-industrial-average-etf-trust-dia.html,SPDR Dow Jones Industrial Average ETF Trust ( NYSEARCA : DIA ) Holdings Lifted by Benin Management CORP,fairfieldcurrent.com,0.0,0.0,0.0
2019Q1,IWM,0,https://www.dailypolitical.com/2019/03/08/ishares-russell-2000-etf-iwm-shares-sold-by-cpwm-llc.html,iShares Russell 2000 ETF ( IWM ) Shares Sold by Cpwm LLC,dailypolitical.com,0.0,0.0,0.0
2019Q1,EEM,0,https://seekingalpha.com/article/4243869-emerging-markets-momentum-lagging,Emerging Markets With Momentum And Those That Are Lagging,seekingalpha.com,0.0,0.0,0.0
2019Q1,GLD,0,https://www.etftrends.com/2019-year-gold-etfs/,Why 2019 Might Be The Year for Gold ETFs,etftrends.com,0.0,0.0,0.0
2019Q1,SLV,0,https://seekingalpha.com/article/4246963-silver-weekly-opportunity,Silver Weekly : This Is An Opportunity,seekingalpha.com,0.0,0.0,0.0
2019Q1,TLT,0,https://www.dailypolitical.com/2019/02/28/foundations-investment-advisors-llc-has-6-82-million-stake-in-ishares-20-year-treasury-bond-etf-tlt.html,Foundations Investment Advisors LLC Has $6 . 82 Million Stake in iShares 20+ Year Treasury Bond ETF ( TLT ) ,dailypolitical.com,0.0,0.0,0.0
2019Q1,HYG,0,https://www.wkrb13.com/2019/01/26/palladium-partners-llc-reduces-position-in-ishares-iboxx-high-yield-corporate-bond-etf-hyg.html,Palladium Partners LLC Reduces Position in iShares iBoxx $ High Yield Corporate Bond ETF ( HYG ) ,wkrb13.com,0.0,0.0,0.0
2019Q1,XLE,0,https://www.etftrends.com/thematic-investing-channel/can-energy-sector-rally-again/,Can the Energy Sector Rally Again ? ,etftrends.com,0.0,0.0,0.0
2019Q1,XLF,0,https://www.cnbc.com/2019/01/14/as-big-bank-earnings-kick-off-top-technician-says-to-fade-the-space.html,"As big bank earnings kick off , top technician says to fade the space",cnbc.com,0.0,0.0,0.0
2019Q1,^VIX,0,https://www.wsj.com/articles/vix-auction-bets-land-chicago-trader-with-1-3-million-fine-11549054937,VIX Auction Bets Land Chicago Trader With $1 . 3 Million Fine,wsj.com,0.0,0.0,0.0
2019Q1,AAPL,0,http://www.benzinga.com/topic/9to5mac,9TO5Mac | Benzinga,benzinga.com,0.0,0.0,0.0
2019Q1,SPY,0,https://www.fairfieldcurrent.com/news/2019/02/07/benin-management-corp-has-49-12-million-position-in-spdr-sp-500-etf-trust-spy.html,SPDR S & P 500 ETF Trust ( NYSEARCA : SPY ) is Benin Management CORP Largest Position,fairfieldcurrent.com,0.0,0.0,0.0
2019Q1,QQQ,0,https://www.dailypolitical.com/2019/01/08/invesco-qqq-trust-qqq-shares-bought-by-north-star-investment-management-corp.html,Invesco QQQ Trust ( QQQ ) Shares Bought by North Star Investment Management Corp . ,dailypolitical.com,0.0,0.0,0.0
2019Q1,DIA,0,https://www.fairfieldcurrent.com/news/2019/02/06/benin-management-corp-boosts-stake-in-spdr-dow-jones-industrial-average-etf-trust-dia.html,SPDR Dow Jones Industrial Average ETF Trust ( NYSEARCA : DIA ) Holdings Lifted by Benin Management CORP,fairfieldcurrent.com,0.0,0.0,0.0
2019Q1,IWM,0,https://www.dailypolitical.com/2019/03/08/ishares-russell-2000-etf-iwm-shares-sold-by-cpwm-llc.html,iShares Russell 2000 ETF ( IWM ) Shares Sold by Cpwm LLC,dailypolitical.com,0.0,0.0,0.0
2019Q1,EEM,0,https://seekingalpha.com/article/4243869-emerging-markets-momentum-lagging,Emerging Markets With Momentum And Those That Are Lagging,seekingalpha.com,0.0,0.0,0.0
2019Q1,GLD,0,https://www.etftrends.com/2019-year-gold-etfs/,Why 2019 Might Be The Year for Gold ETFs,etftrends.com,0.0,0.0,0.0
2019Q1,SLV,0,https://seekingalpha.com/article/4246963-silver-weekly-opportunity,Silver Weekly : This Is An Opportunity,seekingalpha.com,0.0,0.0,0.0
2019Q1,HYG,0,https://www.wkrb13.com/2019/01/26/palladium-partners-llc-reduces-position-in-ishares-iboxx-high-yield-corporate-bond-etf-hyg.html,Palladium Partners LLC Reduces Position in iShares iBoxx $ High Yield Corporate Bond ETF ( HYG ) ,wkrb13.com,0.0,0.0,0.0
2019Q1,XLE,0,https://www.etftrends.com/thematic-investing-channel/can-energy-sector-rally-again/,Can the Energy Sector Rally Again ? ,etftrends.com,0.0,0.0,0.0
2019Q1,XLF,0,https://www.cnbc.com/2019/01/14/as-big-bank-earnings-kick-off-top-technician-says-to-fade-the-space.html,"As big bank earnings kick off , top technician says to fade the space",cnbc.com,0.0,0.0,0.0
2019Q1,^VIX,0,https://www.wsj.com/articles/vix-auction-bets-land-chicago-trader-with-1-3-million-fine-11549054937,VIX Auction Bets Land Chicago Trader With $1 . 3 Million Fine,wsj.com,0.0,0.0,0.0
2019Q1,AAPL,0,http://www.benzinga.com/topic/9to5mac,9TO5Mac | Benzinga,benzinga.com,0.0,0.0,0.0
2019Q1,MSFT,0,https://dminute.com/2019/03/11/hoplite-capital-management-lp-has-lowered-microsoft-msft-position-cadian-capital-management-lp-upped-its-zendesk-zen-stake/,Hoplite Capital Management LP Has Lowered Microsoft ( MSFT ) Position ; Cadian Capital Management LP Upped Its Zendesk ( ZEN ) Stake,dminute.com,0.0,0.0,0.0
2019Q1,NVDA,0,https://dminute.com/2019/02/25/baldwin-investment-management-stake-in-nvidia-nvda-has-upped-as-stock-price-declined-as-becton-dickinson-co-bdx-shares-declined-shareholder-peak-asset-management-has-lowered-stake/,"Baldwin Investment Management Stake in Nvidia ( NVDA ) Has Upped as Stock Price Declined ; As Becton Dickinson & Co ( BDX ) Shares Declined , Shareholder Peak Asset Management Has Lowered Stake",dminute.com,0.0,0.0,0.0
2019Q1,AMZN,0,https://dminute.com/2019/03/14/lockheed-martin-investment-management-company-has-lifted-amazon-com-amzn-holding-by-2-88-million-bolsa-mexicana-de-valores-s-a-b-de-c-v-bomxf-shorts-lowered-by-0-77/,Lockheed Martin Investment Management Company Has Lifted Amazon . Com ( AMZN ) Holding By $2 . 88 Million ; BOLSA MEXICANA DE VALORES S . A . B . DE C . V . ( BOMXF ) Shorts Lowered By 0 . 77 % ,dminute.com,0.0,0.0,0.0
2019Q1,GOOGL,0,https://investorplace.com/2019/02/goog-google-stock-split/,GOOG vs . GOOGL : All You Need to Know About the Google Stock Split,investorplace.com,0.0,0.0,0.0
2019Q1,QQQ,0,https://www.dailypolitical.com/2019/01/08/invesco-qqq-trust-qqq-shares-bought-by-north-star-investment-management-corp.html,Invesco QQQ Trust ( QQQ ) Shares Bought by North Star Investment Management Corp . ,dailypolitical.com,0.0,0.0,0.0
2019Q1,DIA,0,https://www.fairfieldcurrent.com/news/2019/02/06/benin-management-corp-boosts-stake-in-spdr-dow-jones-industrial-average-etf-trust-dia.html,SPDR Dow Jones Industrial Average ETF Trust ( NYSEARCA : DIA ) Holdings Lifted by Benin Management CORP,fairfieldcurrent.com,0.0,0.0,0.0
2019Q1,IWM,0,https://www.dailypolitical.com/2019/03/08/ishares-russell-2000-etf-iwm-shares-sold-by-cpwm-llc.html,iShares Russell 2000 ETF ( IWM ) Shares Sold by Cpwm LLC,dailypolitical.com,0.0,0.0,0.0
2019Q1,EEM,0,https://seekingalpha.com/article/4243869-emerging-markets-momentum-lagging,Emerging Markets With Momentum And Those That Are Lagging,seekingalpha.com,0.0,0.0,0.0
2019Q1,GLD,0,https://www.etftrends.com/2019-year-gold-etfs/,Why 2019 Might Be The Year for Gold ETFs,etftrends.com,0.0,0.0,0.0
2019Q1,SLV,0,https://seekingalpha.com/article/4246963-silver-weekly-opportunity,Silver Weekly : This Is An Opportunity,seekingalpha.com,0.0,0.0,0.0
2019Q1,TLT,0,https://www.dailypolitical.com/2019/02/28/foundations-investment-advisors-llc-has-6-82-million-stake-in-ishares-20-year-treasury-bond-etf-tlt.html,Foundations Investment Advisors LLC Has $6 . 82 Million Stake in iShares 20+ Year Treasury Bond ETF ( TLT ) ,dailypolitical.com,0.0,0.0,0.0
2019Q1,HYG,0,https://www.wkrb13.com/2019/01/26/palladium-partners-llc-reduces-position-in-ishares-iboxx-high-yield-corporate-bond-etf-hyg.html,Palladium Partners LLC Reduces Position in iShares iBoxx $ High Yield Corporate Bond ETF ( HYG ) ,wkrb13.com,0.0,0.0,0.0
2019Q1,XLE,0,https://www.etftrends.com/thematic-investing-channel/can-energy-sector-rally-again/,Can the Energy Sector Rally Again ? ,etftrends.com,0.0,0.0,0.0
2019Q1,XLF,0,https://www.cnbc.com/2019/01/14/as-big-bank-earnings-kick-off-top-technician-says-to-fade-the-space.html,"As big bank earnings kick off , top technician says to fade the space",cnbc.com,0.0,0.0,0.0
2019Q1,^VIX,0,https://www.wsj.com/articles/vix-auction-bets-land-chicago-trader-with-1-3-million-fine-11549054937,VIX Auction Bets Land Chicago Trader With $1 . 3 Million Fine,wsj.com,0.0,0.0,0.0
2019Q1,AAPL,0,http://www.benzinga.com/topic/9to5mac,9TO5Mac | Benzinga,benzinga.com,0.0,0.0,0.0
2019Q1,MSFT,0,https://dminute.com/2019/03/11/hoplite-capital-management-lp-has-lowered-microsoft-msft-position-cadian-capital-management-lp-upped-its-zendesk-zen-stake/,Hoplite Capital Management LP Has Lowered Microsoft ( MSFT ) Position ; Cadian Capital Management LP Upped Its Zendesk ( ZEN ) Stake,dminute.com,0.0,0.0,0.0
2019Q1,NVDA,0,https://dminute.com/2019/02/25/baldwin-investment-management-stake-in-nvidia-nvda-has-upped-as-stock-price-declined-as-becton-dickinson-co-bdx-shares-declined-shareholder-peak-asset-management-has-lowered-stake/,"Baldwin Investment Management Stake in Nvidia ( NVDA ) Has Upped as Stock Price Declined ; As Becton Dickinson & Co ( BDX ) Shares Declined , Shareholder Peak Asset Management Has Lowered Stake",dminute.com,0.0,0.0,0.0
2019Q1,AMZN,0,https://dminute.com/2019/03/14/lockheed-martin-investment-management-company-has-lifted-amazon-com-amzn-holding-by-2-88-million-bolsa-mexicana-de-valores-s-a-b-de-c-v-bomxf-shorts-lowered-by-0-77/,Lockheed Martin Investment Management Company Has Lifted Amazon . Com ( AMZN ) Holding By $2 . 88 Million ; BOLSA MEXICANA DE VALORES S . A . B . DE C . V . ( BOMXF ) Shorts Lowered By 0 . 77 % ,dminute.com,0.0,0.0,0.0
2019Q1,SPY,0,https://www.fairfieldcurrent.com/news/2019/02/07/benin-management-corp-has-49-12-million-position-in-spdr-sp-500-etf-trust-spy.html,SPDR S & P 500 ETF Trust ( NYSEARCA : SPY ) is Benin Management CORP Largest Position,fairfieldcurrent.com,0.0,0.0,0.0
2019Q1,QQQ,0,https://www.dailypolitical.com/2019/01/08/invesco-qqq-trust-qqq-shares-bought-by-north-star-investment-management-corp.html,Invesco QQQ Trust ( QQQ ) Shares Bought by North Star Investment Management Corp . ,dailypolitical.com,0.0,0.0,0.0
2019Q1,DIA,0,https://www.fairfieldcurrent.com/news/2019/02/06/benin-management-corp-boosts-stake-in-spdr-dow-jones-industrial-average-etf-trust-dia.html,SPDR Dow Jones Industrial Average ETF Trust ( NYSEARCA : DIA ) Holdings Lifted by Benin Management CORP,fairfieldcurrent.com,0.0,0.0,0.0
2019Q1,SPY,0,https://www.fairfieldcurrent.com/news/2019/02/07/benin-management-corp-has-49-12-million-position-in-spdr-sp-500-etf-trust-spy.html,SPDR S & P 500 ETF Trust ( NYSEARCA : SPY ) is Benin Management CORP Largest Position,fairfieldcurrent.com,0.0,0.0,0.0
2019Q1,QQQ,0,https://www.dailypolitical.com/2019/01/08/invesco-qqq-trust-qqq-shares-bought-by-north-star-investment-management-corp.html,Invesco QQQ Trust ( QQQ ) Shares Bought by North Star Investment Management Corp . ,dailypolitical.com,0.0,0.0,0.0
2019Q1,DIA,0,https://www.fairfieldcurrent.com/news/2019/02/06/benin-management-corp-boosts-stake-in-spdr-dow-jones-industrial-average-etf-trust-dia.html,SPDR Dow Jones Industrial Average ETF Trust ( NYSEARCA : DIA ) Holdings Lifted by Benin Management CORP,fairfieldcurrent.com,0.0,0.0,0.0
2019Q1,IWM,0,https://www.dailypolitical.com/2019/03/08/ishares-russell-2000-etf-iwm-shares-sold-by-cpwm-llc.html,iShares Russell 2000 ETF ( IWM ) Shares Sold by Cpwm LLC,dailypolitical.com,0.0,0.0,0.0
2019Q1,EEM,0,https://seekingalpha.com/article/4243869-emerging-markets-momentum-lagging,Emerging Markets With Momentum And Those That Are Lagging,seekingalpha.com,0.0,0.0,0.0
2019Q1,GLD,0,https://www.etftrends.com/2019-year-gold-etfs/,Why 2019 Might Be The Year for Gold ETFs,etftrends.com,0.0,0.0,0.0
2019Q1,SLV,0,https://seekingalpha.com/article/4246963-silver-weekly-opportunity,Silver Weekly : This Is An Opportunity,seekingalpha.com,0.0,0.0,0.0
2019Q1,TLT,0,https://www.dailypolitical.com/2019/02/28/foundations-investment-advisors-llc-has-6-82-million-stake-in-ishares-20-year-treasury-bond-etf-tlt.html,Foundations Investment Advisors LLC Has $6 . 82 Million Stake in iShares 20+ Year Treasury Bond ETF ( TLT ) ,dailypolitical.com,0.0,0.0,0.0
2019Q1,HYG,0,https://www.wkrb13.com/2019/01/26/palladium-partners-llc-reduces-position-in-ishares-iboxx-high-yield-corporate-bond-etf-hyg.html,Palladium Partners LLC Reduces Position in iShares iBoxx $ High Yield Corporate Bond ETF ( HYG ) ,wkrb13.com,0.0,0.0,0.0
2019Q1,SPY,0,https://www.fairfieldcurrent.com/news/2019/02/07/benin-management-corp-has-49-12-million-position-in-spdr-sp-500-etf-trust-spy.html,SPDR S & P 500 ETF Trust ( NYSEARCA : SPY ) is Benin Management CORP Largest Position,fairfieldcurrent.com,0.0,0.0,0.0
2019Q1,QQQ,0,https://www.dailypolitical.com/2019/01/08/invesco-qqq-trust-qqq-shares-bought-by-north-star-investment-management-corp.html,Invesco QQQ Trust ( QQQ ) Shares Bought by North Star Investment Management Corp . ,dailypolitical.com,0.0,0.0,0.0
2019Q1,DIA,0,https://www.fairfieldcurrent.com/news/2019/02/06/benin-management-corp-boosts-stake-in-spdr-dow-jones-industrial-average-etf-trust-dia.html,SPDR Dow Jones Industrial Average ETF Trust ( NYSEARCA : DIA ) Holdings Lifted by Benin Management CORP,fairfieldcurrent.com,0.0,0.0,0.0
2019Q1,IWM,0,https://www.dailypolitical.com/2019/03/08/ishares-russell-2000-etf-iwm-shares-sold-by-cpwm-llc.html,iShares Russell 2000 ETF ( IWM ) Shares Sold by Cpwm LLC,dailypolitical.com,0.0,0.0,0.0
2019Q1,EEM,0,https://seekingalpha.com/article/4243869-emerging-markets-momentum-lagging,Emerging Markets With Momentum And Those That Are Lagging,seekingalpha.com,0.0,0.0,0.0
2019Q1,GLD,0,https://www.etftrends.com/2019-year-gold-etfs/,Why 2019 Might Be The Year for Gold ETFs,etftrends.com,0.0,0.0,0.0
2019Q1,SLV,0,https://seekingalpha.com/article/4246963-silver-weekly-opportunity,Silver Weekly : This Is An Opportunity,seekingalpha.com,0.0,0.0,0.0
2019Q1,TLT,0,https://www.dailypolitical.com/2019/02/28/foundations-investment-advisors-llc-has-6-82-million-stake-in-ishares-20-year-treasury-bond-etf-tlt.html,Foundations Investment Advisors LLC Has $6 . 82 Million Stake in iShares 20+ Year Treasury Bond ETF ( TLT ) ,dailypolitical.com,0.0,0.0,0.0
2019Q1,HYG,0,https://www.wkrb13.com/2019/01/26/palladium-partners-llc-reduces-position-in-ishares-iboxx-high-yield-corporate-bond-etf-hyg.html,Palladium Partners LLC Reduces Position in iShares iBoxx $ High Yield Corporate Bond ETF ( HYG ) ,wkrb13.com,0.0,0.0,0.0
2019Q1,XLE,0,https://www.etftrends.com/thematic-investing-channel/can-energy-sector-rally-again/,Can the Energy Sector Rally Again ? ,etftrends.com,0.0,0.0,0.0
2019Q1,XLF,0,https://www.cnbc.com/2019/01/14/as-big-bank-earnings-kick-off-top-technician-says-to-fade-the-space.html,"As big bank earnings kick off , top technician says to fade the space",cnbc.com,0.0,0.0,0.0
2019Q1,^VIX,0,https://www.wsj.com/articles/vix-auction-bets-land-chicago-trader-with-1-3-million-fine-11549054937,VIX Auction Bets Land Chicago Trader With $1 . 3 Million Fine,wsj.com,0.0,0.0,0.0
2019Q1,AAPL,0,http://www.benzinga.com/topic/9to5mac,9TO5Mac | Benzinga,benzinga.com,0.0,0.0,0.0
2019Q1,MSFT,0,https://dminute.com/2019/03/11/hoplite-capital-management-lp-has-lowered-microsoft-msft-position-cadian-capital-management-lp-upped-its-zendesk-zen-stake/,Hoplite Capital Management LP Has Lowered Microsoft ( MSFT ) Position ; Cadian Capital Management LP Upped Its Zendesk ( ZEN ) Stake,dminute.com,0.0,0.0,0.0
2019Q1,SPY,0,https://www.fairfieldcurrent.com/news/2019/02/07/benin-management-corp-has-49-12-million-position-in-spdr-sp-500-etf-trust-spy.html,SPDR S & P 500 ETF Trust ( NYSEARCA : SPY ) is Benin Management CORP Largest Position,fairfieldcurrent.com,0.0,0.0,0.0
2019Q1,QQQ,0,https://www.dailypolitical.com/2019/01/08/invesco-qqq-trust-qqq-shares-bought-by-north-star-investment-management-corp.html,Invesco QQQ Trust ( QQQ ) Shares Bought by North Star Investment Management Corp . ,dailypolitical.com,0.0,0.0,0.0
2019Q1,DIA,0,https://www.fairfieldcurrent.com/news/2019/02/06/benin-management-corp-boosts-stake-in-spdr-dow-jones-industrial-average-etf-trust-dia.html,SPDR Dow Jones Industrial Average ETF Trust ( NYSEARCA : DIA ) Holdings Lifted by Benin Management CORP,fairfieldcurrent.com,0.0,0.0,0.0
2019Q1,IWM,0,https://www.dailypolitical.com/2019/03/08/ishares-russell-2000-etf-iwm-shares-sold-by-cpwm-llc.html,iShares Russell 2000 ETF ( IWM ) Shares Sold by Cpwm LLC,dailypolitical.com,0.0,0.0,0.0
2019Q1,EEM,0,https://seekingalpha.com/article/4243869-emerging-markets-momentum-lagging,Emerging Markets With Momentum And Those That Are Lagging,seekingalpha.com,0.0,0.0,0.0
2019Q1,GLD,0,https://www.etftrends.com/2019-year-gold-etfs/,Why 2019 Might Be The Year for Gold ETFs,etftrends.com,0.0,0.0,0.0
2019Q1,SLV,0,https://seekingalpha.com/article/4246963-silver-weekly-opportunity,Silver Weekly : This Is An Opportunity,seekingalpha.com,0.0,0.0,0.0
2019Q1,TLT,0,https://www.dailypolitical.com/2019/02/28/foundations-investment-advisors-llc-has-6-82-million-stake-in-ishares-20-year-treasury-bond-etf-tlt.html,Foundations Investment Advisors LLC Has $6 . 82 Million Stake in iShares 20+ Year Treasury Bond ETF ( TLT ) ,dailypolitical.com,0.0,0.0,0.0
2019Q1,HYG,0,https://www.wkrb13.com/2019/01/26/palladium-partners-llc-reduces-position-in-ishares-iboxx-high-yield-corporate-bond-etf-hyg.html,Palladium Partners LLC Reduces Position in iShares iBoxx $ High Yield Corporate Bond ETF ( HYG ) ,wkrb13.com,0.0,0.0,0.0
2019Q1,XLE,0,https://www.etftrends.com/thematic-investing-channel/can-energy-sector-rally-again/,Can the Energy Sector Rally Again ? ,etftrends.com,0.0,0.0,0.0
2019Q1,XLF,0,https://www.cnbc.com/2019/01/14/as-big-bank-earnings-kick-off-top-technician-says-to-fade-the-space.html,"As big bank earnings kick off , top technician says to fade the space",cnbc.com,0.0,0.0,0.0
2019Q1,^VIX,0,https://www.wsj.com/articles/vix-auction-bets-land-chicago-trader-with-1-3-million-fine-11549054937,VIX Auction Bets Land Chicago Trader With $1 . 3 Million Fine,wsj.com,0.0,0.0,0.0
2019Q1,AAPL,0,http://www.benzinga.com/topic/9to5mac,9TO5Mac | Benzinga,benzinga.com,0.0,0.0,0.0
2019Q1,MSFT,0,https://dminute.com/2019/03/11/hoplite-capital-management-lp-has-lowered-microsoft-msft-position-cadian-capital-management-lp-upped-its-zendesk-zen-stake/,Hoplite Capital Management LP Has Lowered Microsoft ( MSFT ) Position ; Cadian Capital Management LP Upped Its Zendesk ( ZEN ) Stake,dminute.com,0.0,0.0,0.0
2019Q1,NVDA,0,https://dminute.com/2019/02/25/baldwin-investment-management-stake-in-nvidia-nvda-has-upped-as-stock-price-declined-as-becton-dickinson-co-bdx-shares-declined-shareholder-peak-asset-management-has-lowered-stake/,"Baldwin Investment Management Stake in Nvidia ( NVDA ) Has Upped as Stock Price Declined ; As Becton Dickinson & Co ( BDX ) Shares Declined , Shareholder Peak Asset Management Has Lowered Stake",dminute.com,0.0,0.0,0.0
2019Q1,AMZN,0,https://dminute.com/2019/03/14/lockheed-martin-investment-management-company-has-lifted-amazon-com-amzn-holding-by-2-88-million-bolsa-mexicana-de-valores-s-a-b-de-c-v-bomxf-shorts-lowered-by-0-77/,Lockheed Martin Investment Management Company Has Lifted Amazon . Com ( AMZN ) Holding By $2 . 88 Million ; BOLSA MEXICANA DE VALORES S . A . B . DE C . V . ( BOMXF ) Shorts Lowered By 0 . 77 % ,dminute.com,0.0,0.0,0.0
2019Q1,SPY,0,https://www.fairfieldcurrent.com/news/2019/02/07/benin-management-corp-has-49-12-million-position-in-spdr-sp-500-etf-trust-spy.html,SPDR S & P 500 ETF Trust ( NYSEARCA : SPY ) is Benin Management CORP Largest Position,fairfieldcurrent.com,0.0,0.0,0.0
2019Q1,QQQ,0,https://www.dailypolitical.com/2019/01/08/invesco-qqq-trust-qqq-shares-bought-by-north-star-investment-management-corp.html,Invesco QQQ Trust ( QQQ ) Shares Bought by North Star Investment Management Corp . ,dailypolitical.com,0.0,0.0,0.0
2019Q1,DIA,0,https://www.fairfieldcurrent.com/news/2019/02/06/benin-management-corp-boosts-stake-in-spdr-dow-jones-industrial-average-etf-trust-dia.html,SPDR Dow Jones Industrial Average ETF Trust ( NYSEARCA : DIA ) Holdings Lifted by Benin Management CORP,fairfieldcurrent.com,0.0,0.0,0.0
2019Q1,IWM,0,https://www.dailypolitical.com/2019/03/08/ishares-russell-2000-etf-iwm-shares-sold-by-cpwm-llc.html,iShares Russell 2000 ETF ( IWM ) Shares Sold by Cpwm LLC,dailypolitical.com,0.0,0.0,0.0
2019Q1,EEM,0,https://seekingalpha.com/article/4243869-emerging-markets-momentum-lagging,Emerging Markets With Momentum And Those That Are Lagging,seekingalpha.com,0.0,0.0,0.0
2019Q1,GLD,0,https://www.etftrends.com/2019-year-gold-etfs/,Why 2019 Might Be The Year for Gold ETFs,etftrends.com,0.0,0.0,0.0
2019Q1,SLV,0,https://seekingalpha.com/article/4246963-silver-weekly-opportunity,Silver Weekly : This Is An Opportunity,seekingalpha.com,0.0,0.0,0.0
2019Q1,TLT,0,https://www.dailypolitical.com/2019/02/28/foundations-investment-advisors-llc-has-6-82-million-stake-in-ishares-20-year-treasury-bond-etf-tlt.html,Foundations Investment Advisors LLC Has $6 . 82 Million Stake in iShares 20+ Year Treasury Bond ETF ( TLT ) ,dailypolitical.com,0.0,0.0,0.0
